route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,41
,EC,10,2,15
,EC,12,2,40
,EC,13,2,11
,EC,7,2,94
,EC,9,2,6
,EC 27,11,2,65
,EC 27,9,2,33
,EC 43,11,2,21
,EC 43,7,2,72
,EC 62,1,2,77
,EC 62,11,2,42
,EC 75,11,2,16
,EC 75,13,2,1
,EC 85,11,2,50
,EC 89,11,2,95
,EC 95,11,2,66
,EC 95,2,2,78
,EC 96,11,2,12
,EC 96,2,2,67
,ECE 85,11,2,2
,ECE 88,11,2,73
,EN,1,2,7
,EN,12,2,3
,EN,2,2,74
,EN,8,2,29
,EN,9,2,96
,IC,1,2,34
,IC,13,2,58
,IC,2,2,25
,IC,3,2,51
,IC,4,2,79
,IC,5,2,57
,IC,7,2,8
,IC 17,11,2,68
,IC 18,11,2,43
,IC 24,11,2,30
,IC 26,11,2,26
,IC 27,11,2,52
,IC 29,11,2,35
,IC 32,11,2,36
,IC 34,11,2,37
,IC 35,11,2,59
,IC 39,11,2,27
,IC 51,11,2,22
,IC 55,11,2,13
,IC 56,11,2,80
,IC 57,11,2,53
,IC 6,7,2,44
,IC 61,11,2,31
,IC 62,11,2,81
,IC 76,11,2,60
,IC 76,13,2,88
,IC 77,11,2,23
,IC 87,11,2,69
,ICE,1,2,17
,ICE,4,2,61
,ICE,7,2,9
,ICE 10,11,2,62
,ICE 11,11,2,82
,ICE 12,11,2,97
,ICE 13,11,2,70
,ICE 14,11,2,14
,ICE 15,11,2,45
,ICE 16,11,2,98
,ICE 17,11,2,46
,ICE 18,11,2,47
,ICE 19,11,2,83
,ICE 20,11,2,84
,ICE 21,11,2,54
,ICE 22,11,2,18
,ICE 24,11,2,99
,ICE 25,11,2,89
,ICE 26,11,2,38
,ICE 27,11,2,55
,ICE 28,11,2,85
,ICE 29,11,2,86
,ICE 32,11,2,90
,ICE 39,11,2,63
,ICE 4,11,2,56
,ICE 41,11,2,39
,ICE 42,11,2,32
,ICE 43,11,2,10
,ICE 45,11,2,71
,ICE 47,11,2,64
,ICE 49,11,2,24
,ICE 50,11,2,48
,ICE 60,11,2,100
,ICE 62,11,2,91
,ICE 77,11,2,92
,ICE 78,11,2,4
,ICE 79,11,2,19
,ICE 8,11,2,49
,ICE 82,11,2,93
,ICE 82,6,2,87
,ICE 83,11,2,5
,ICE 83,6,2,20
,ICE 89,11,2,75
,ICE 9,11,2,28
,ICE 91,11,2,101
,RJ,1,2,76
