stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,614443,51.69054,5.293723,1
's-Hertogenbosch,614443,228532,51.69054,5.293723,
Aachen Hbf,53070,166340,50.7678,6.091499,
Aachen Süd(Gr),,574574,50.731915,6.04541,1
Aachen Süd(Gr),574574,230750,50.731915,6.04541,
"Aachen, Hauptbahnhof",,53070,50.767723,6.092051,1
Aalen Hauptbahnhof,,88965,48.841602,10.096031,1
Aalen Hbf,88965,320402,48.84168,10.09613,
Altena(Westf),173110,379870,51.301956,7.668576,
Altena(Westf),173110,470942,51.302013,7.668693,
"Altena, Bahnhof",,173110,51.301983,7.66881,1
Altenbeken,,382808,51.766434,8.943322,1
Altenbeken,382808,155597,51.766296,8.94298,
Amersfoort Centraal,,440568,52.153465,5.373909,1
Amersfoort Centraal,440568,420534,52.153465,5.373909,
Amsterdam Centraal,,250527,52.37919,4.899431,1
Amsterdam Centraal,250527,103205,52.37919,4.899431,
Amstetten NÖ,,126980,48.121605,14.878112,1
Amstetten NÖ,126980,183368,48.121605,14.878112,
Andernach,533896,513392,50.434544,7.404839,
Andernach Bahnhof,,533896,50.434544,7.40484,1
Angermünde,432399,217234,53.01574,13.995672,
Angermünde,432399,463094,53.015793,13.995908,
"Angermünde, Bahnhof",,432399,53.015823,13.995871,1
Anklam,,220199,53.855984,13.701563,1
Anklam,220199,586971,53.85625,13.701518,
Anklam,220199,624603,53.8563,13.701554,
Ansbach,,424994,49.29803,10.578246,1
Ansbach,424994,438121,49.29889,10.577582,
Ansbach Bahnhof,424994,309588,49.299046,10.578031,
Ansbach Bahnhof,424994,434657,49.299145,10.578166,
Ansbach Bahnhof,424994,467287,49.299004,10.578067,
Apeldoorn,,335466,52.20943,5.968491,1
Apeldoorn,335466,545538,52.20943,5.968491,
Apolda,,429159,51.03094,11.526136,1
Apolda,429159,479889,51.03094,11.526136,
Aschaffenburg Hbf,,563767,49.980556,9.1437,1
Aschaffenburg Hbf,563767,12097,49.980556,9.143697,
Aschaffenburg Hbf,563767,260810,49.980797,9.14343,
Aschaffenburg Hbf,563767,411529,49.98065,9.14343,
Attnang-Puchheim,,550178,48.012802,13.720719,1
Attnang-Puchheim,550178,100734,48.012802,13.720719,
Augsburg Hbf,,192922,48.36544,10.885569,1
Augsburg Hbf,192922,321891,48.3656,10.885713,
Augsburg Hbf,192922,409563,48.36544,10.88557,
Augsburg Hbf,192922,51233,48.365437,10.885291,
Augsburg Hbf,192922,513327,48.365673,10.885892,
Augsburg Hbf,192922,559863,48.36546,10.885353,
